t,v,h,a
132.5,6435.0,51.4,3.322
133.0,6506.0,52.8,3.375
133.5,6562.0,52.4,3.387
134.0,6638.0,53.8,3.451
134.5,6692.0,53.5,3.447
135.0,6759.0,54.1,3.462
135.5,6815.0,54.5,3.477
136.0,6886.0,55.1,3.515
136.5,6952.0,55.7,3.541
137.0,7024.0,56.3,3.59
137.5,7086.0,56.8,3.594
138.0,7161.0,57.4,3.655
138.5,7222.0,57.9,3.64
139.0,7298.0,58.5,3.719
139.5,7362.0,59.1,3.726
,,,
140.5,7508.0,60.3,3.775
,,,
141.5,7647.0,61.4,3.77
142.0,7723.0,62.8,3.845
142.5,7798.0,62.6,3.842
143.0,7878.0,63.2,3.94
143.5,7942.0,63.8,3.928
144.0,8019.0,64.5,4.008
,,,
145.0,8178.0,65.7,4.04
145.5,8249.0,66.3,4.059
146.0,8332.0,67.8,4.1
146.5,8404.0,67.6,4.138
147.0,8498.0,68.3,4.21
147.5,8518.0,68.8,4.055
148.0,8518.0,69.6,3.768
148.5,8502.0,70.2,3.466
,,,
149.5,8484.0,71.5,3.156
150.0,8474.0,72.1,2.856
150.5,8466.0,72.7,2.539
151.0,8456.0,73.4,2.218
151.5,8448.0,74.8,1.886
152.0,8439.0,74.7,1.61
152.5,8429.0,75.3,1.282
153.0,8428.0,75.9,0.978
153.5,8411.0,76.5,0.646
154.0,8407.0,77.1,0.317
154.5,8412.0,77.8,0.064
155.0,8418.0,78.4,-0.268
155.5,8424.0,79.8,-0.321
156.0,8431.0,79.7,-0.294
,,,
,,,
157.5,8449.0,81.5,-0.211
158.0,8456.0,82.1,-0.151
158.5,8462.0,82.7,-0.091
159.0,8469.0,83.4,-0.034
159.5,8475.0,83.9,0.026
160.0,8482.0,84.6,0.083
160.5,8488.0,85.1,0.14
161.0,8496.0,85.8,0.208
161.5,8502.0,86.4,0.234
162.0,8589.0,87.8,0.627
162.5,8515.0,87.6,0.362
163.0,8523.0,88.2,0.374
163.5,8529.0,88.8,0.374
164.0,8536.0,89.4,0.378
164.5,8543.0,90.8,0.378
165.0,8558.0,90.6,0.412
165.5,8557.0,91.2,0.381
166.0,8564.0,91.8,0.385
166.5,8578.0,92.3,0.412
167.0,8578.0,93.8,0.389
167.5,8585.0,93.6,0.389
168.0,8593.0,94.2,0.396
168.5,8599.0,94.7,0.389
169.0,8607.0,95.4,0.396
169.5,8614.0,95.9,0.094
170.0,8621.0,96.6,0.4
170.5,8628.0,97.1,0.396
171.0,8636.0,97.8,0.404
171.5,8643.0,98.3,0.404
172.0,8651.0,98.9,0.408
172.5,8658.0,99.5,0.378
,,,
,,,
174.0,8681.0,101.2,0.41
174.5,8688.0,101.8,0.41
175.0,8697.0,102.5,0.391
175.5,8705.0,103.8,0.422
176.0,8712.0,103.6,0.422
176.5,8719.0,104.1,0.418
177.0,8728.0,104.7,0.429
177.5,8736.0,105.3,0.429
,,,
178.5,8751.0,106.4,0.431
179.0,8768.0,107.8,0.469
179.5,8768.0,107.6,0.442
180.0,8776.0,108.2,0.442
180.5,8784.0,108.7,0.446
,,,
,,,
