t,v,h,a
73.533,1717.0,12.4,1.134518820553479
74.033,1743.0,12.6,1.2307924642277344
74.533,1766.0,12.8,1.2364556197379846
75.033,1789.0,13.8,1.257220523275569
75.533,1814.0,13.2,1.2798731453165704
76.033,1838.0,13.4,1.2968626118473212
76.533,1859.0,13.6,1.3025257673575716
77.033,1887.0,13.8,1.3195152338883225
,,,
78.033,1938.0,14.3,1.3563257447049495
78.533,1963.0,14.5,1.3733152112357003
79.033,1988.0,14.7,1.3903046777664514
79.533,2015.0,14.9,1.3959678332767016
80.033,2042.0,15.1,1.4186204553177029
80.533,2069.0,15.3,1.4412730773587041
81.033,2095.0,15.5,1.4469362328689543
81.533,2124.0,15.8,1.475252010420206
82.033,2151.0,16.8,1.509230943481708
82.533,2176.0,16.2,1.4922414769509569
83.033,2208.0,16.5,1.5290519877675839
83.533,2233.0,16.7,1.5290519877675839
84.033,2267.0,16.9,1.5800203873598369
84.533,2293.0,17.2,1.5743572318495864
85.033,2323.0,17.4,1.5913466983803375
85.533,2353.0,17.6,1.6083361649110883
86.033,2382.0,17.9,1.6253256314418394
86.533,2414.0,18.1,1.6423150979725902
87.033,2445.0,18.4,1.6649677200135915
87.533,2476.0,18.6,1.6989466530750934
88.033,2512.0,18.9,1.7215992751160947
88.533,2548.0,19.1,1.783893985728848
89.033,2572.0,19.4,1.7272624306263449
89.533,2605.0,19.6,1.766904519198097
90.033,2636.0,19.9,1.7725676747083474
90.533,2678.0,20.2,1.840525540831351
91.033,2702.0,20.4,1.8122097632800995
91.533,2738.0,20.7,1.8348623853211008
92.033,2771.0,20.9,1.8461886963416014
,,,
93.033,2839.0,21.5,1.8631781628723523
93.533,2875.0,21.8,1.8631781628723523
94.033,2918.0,22.8,1.9028202514441044
94.533,2945.0,22.3,1.9198097179748554
95.033,2981.0,22.6,1.9367991845056063
95.533,3019.0,22.9,1.9764412730773586
96.033,3056.0,23.2,1.948125495526107
96.533,3092.0,23.5,2.0160833616491107
97.033,3129.0,23.8,2.021746517159361
97.533,3168.0,24.1,2.055725450220863
98.033,3204.0,24.4,2.0670517612413635
98.533,3238.0,24.6,2.055725450220863
99.033,3288.0,25.8,2.095367538792615
99.533,3319.0,25.3,2.118020160833616
100.033,3358.0,25.6,2.1350096273643673
100.533,3397.0,25.9,2.1406727828746175
101.033,3436.0,26.2,2.1519990938951183
101.533,3477.0,26.5,2.18031487144637
102.033,3518.0,26.8,2.202967493487371
102.533,3558.0,27.1,2.2086306489976213
103.033,3599.0,27.5,2.2369464265488728
103.533,3648.0,27.8,2.3218937592026276
104.033,3681.0,28.1,2.2256201155283724
104.533,3723.0,28.4,2.2879148261411255
105.033,3765.0,28.8,2.3049042926718766
105.533,3807.0,29.1,2.3218937592026276
106.033,3849.0,29.4,2.3388832257333787
106.533,3889.0,29.7,2.333220070223128
107.033,3938.0,30.1,2.3785253143051306
107.533,3976.0,30.4,2.36719900328463
108.033,4025.0,30.8,2.4125042473666327
108.533,4078.0,31.1,2.435156869407634
109.033,4114.0,31.5,2.4521463359383846
109.533,4159.0,31.8,2.4691358024691357
110.033,4205.0,32.2,2.491788424510137
110.533,4258.0,32.6,2.55408313512289
111.033,4295.0,32.9,2.5257673575716386
111.533,4343.0,33.3,2.571072601653641
112.033,4388.0,33.6,2.54841997961264
112.533,4437.0,34.8,2.6107146902253935
113.033,4488.0,34.4,2.622041001245894
113.533,4531.0,34.8,2.565409446143391
114.033,4575.0,35.1,2.6107146902253935
114.533,4624.0,35.5,2.6333673122663948
115.033,4671.0,35.9,2.639030467776645
115.533,4728.0,36.3,2.6616830898176462
116.033,4765.0,36.6,2.6616830898176462
116.533,4816.0,37.8,2.6786725563483973
117.033,4861.0,37.4,2.6786725563483973
117.533,4912.0,37.8,2.6899988673688977
118.033,4959.0,38.2,2.6673462453278964
118.533,5008.0,38.6,2.7013251783893986
119.033,5056.0,39.8,2.7239778004304
119.533,5102.0,39.4,2.7069883338996488
120.033,5149.0,39.8,2.7069883338996488
120.533,5208.0,40.2,2.718314644920149
121.033,5246.0,40.6,2.7239778004304
121.533,5296.0,41.8,2.718314644920149
,,,
,,,
,,,
,,,
,,,
,,,
,,,
125.533,5698.0,44.4,2.7480462113489637
,,,
,,,
127.033,5845.0,45.8,2.736719900328463
127.533,5888.0,46.2,2.7140672782874615
128.033,5935.0,46.6,2.7027409672669687
,,,
,,,
129.533,6088.0,48.8,2.7197304337977193
130.033,6135.0,48.4,2.72539358930797
130.533,6186.0,48.9,2.7480462113489708
131.033,6242.0,49.4,2.73105674481822
131.533,6287.0,49.8,2.770698833389972
132.033,6342.0,50.3,2.799014610941224
132.533,6385.0,50.7,2.757956733491909
133.033,6442.0,51.2,2.8032619775739116
133.533,6485.0,51.6,2.8032619775739116
134.033,6542.0,52.2,2.859893532676407
134.533,6585.0,52.6,2.8145882885944045
135.033,6642.0,53.1,2.871219843696908
135.533,6687.0,53.6,2.8372409106354057
136.033,6737.0,54.8,2.803261977573904
136.533,6787.0,54.5,2.8315777551251555
137.033,6844.0,55.8,2.842904066145656
