t,v,h,a
,,,
,,,
,,,
,,,
,,,
,,,
3.5,24.0,6.1,
4.0,38.0,6.1,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
129.0,5874.0,45.3,2.801
129.5,5938.0,45.8,2.88
130.0,5981.0,46.2,2.839
130.5,6041.0,46.7,2.907
131.0,6082.0,47.1,2.865
131.5,6148.0,47.6,2.941
132.0,6189.0,48.8,2.903
132.5,6248.0,48.5,2.948
133.0,6299.0,49.8,2.929
133.5,6358.0,49.4,2.967
134.0,6407.0,49.9,2.982
134.5,6468.0,50.4,3.024
135.0,6511.0,50.8,2.993
135.5,6567.0,51.3,3.009
136.0,6615.0,51.7,2.99
136.5,6678.0,52.3,3.035
137.0,6724.0,52.7,2.967
137.5,6775.0,53.2,2.998
138.0,6831.0,53.7,2.983
138.5,6889.0,54.2,3.047
139.0,6939.0,54.6,2.986
139.5,6995.0,55.1,3.043
140.0,7051.0,55.7,3.032
140.5,7102.0,56.1,3.032
141.0,7157.0,56.6,3.017
,,,
142.0,7263.0,57.6,3.032
,,,
143.0,7372.0,58.6,3.007
143.5,7426.0,59.1,3.049
144.0,7482.0,59.7,3.049
,,,
145.0,7593.0,60.7,3.077
145.5,7645.0,61.2,3.035
146.0,7698.0,61.7,3.062
146.5,7752.0,62.2,3.073
,,,
147.5,7863.0,63.3,3.071
148.0,7915.0,63.8,3.049
148.5,7965.0,64.3,3.049
149.0,8017.0,64.8,3.034
149.5,8075.0,65.4,3.041
150.0,8128.0,65.9,3.049
150.5,8186.0,66.4,3.06
151.0,8242.0,67.8,3.071
151.5,8285.0,67.5,3.028
152.0,8283.0,68.8,2.816
152.5,8277.0,68.6,2.582
153.0,8269.0,69.2,2.343
153.5,8261.0,69.7,2.116
154.0,8252.0,70.2,1.882
154.5,8245.0,70.8,1.652
155.0,8239.0,71.3,1.42
155.5,8238.0,71.8,1.219
156.0,8223.0,72.3,0.974
156.5,8215.0,72.8,0.748
157.0,8207.0,73.3,0.498
157.5,8199.0,73.9,0.268
158.0,8193.0,74.4,0.026
158.5,8198.0,74.9,-0.166
159.0,8205.0,75.4,-0.302
159.5,8208.0,75.9,-0.283
160.0,8201.0,76.4,-0.287
160.5,8194.0,76.9,-0.283
161.0,8208.0,77.4,-0.2
161.5,8175.0,77.9,-0.291
162.0,8161.0,78.4,-0.317
162.5,8177.0,79.8,-0.234
163.0,8123.0,79.4,-0.434
163.5,8165.0,79.9,-0.219
164.0,8123.0,80.4,-0.347
164.5,8152.0,81.8,-0.208
165.0,8119.0,81.4,-0.302
165.5,8112.0,81.9,-0.306
166.0,8128.0,82.3,-0.264
166.5,8086.0,82.9,-0.449
167.0,8118.0,83.3,-0.34
167.5,8067.0,83.8,-0.506
,,,
168.5,8062.0,84.8,-0.489
,,,
169.5,8076.0,85.7,-0.515
170.0,8038.0,86.1,-0.534
170.5,8063.0,86.6,-0.387
171.0,8024.0,87.8,-0.595
171.5,8038.0,87.5,-0.338
172.0,8028.0,87.9,-0.534
172.5,8006.0,88.5,-0.459
,,,
173.5,7988.0,89.4,-0.602
174.0,8013.0,89.8,-0.383
,,,
,,,
175.5,7972.0,91.2,-0.408
